户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途
2室1厅,高楼层/共6层,59.81平米,平层/简装,430,望园西里,丰台,南 北,,"2021年12月05日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共30层,76.57平米,平层/毛坯,397,广安﹒康馨家园,丰台,南 北,有,"2021年10月21日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共30层,76.51平米,平层/精装,435,广安﹒康馨家园,丰台,南 北,有,"2021年12月06日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共28层,77.55平米,平层/简装,398,广安﹒康馨家园,丰台,南 北,有,"2021年10月25日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共34层,76.7平米,平层/简装,385,广安﹒康馨家园,丰台,南 北,有,"2021年05月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,59.25平米,平层/精装,400,太平桥小区,丰台,南 北,,"2021年08月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,66.61平米,平层/简装,379,康泽园,丰台,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,69.72平米,平层/简装,398,建欣苑四里,丰台,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,55.95平米,平层/简装,365,晨光小区,丰台,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共6层,67.69平米,平层/简装,420,草桥矿冶小区,丰台,南 北,,"2021年11月24日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,56.69平米,平层/简装,357,太平桥西里,丰台,南 北,,"2021年11月08日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,65.99平米,平层/简装,352,建欣苑三里,丰台,南 北,,"2021年10月31日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,68.44平米,平层/简装,398,西罗园南里,丰台,南 北,,"2021年10月25日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共19层,75.07平米,平层/简装,370,广安﹒康馨家园,丰台,南,有,"2021年08月08日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共28层,77.55平米,平层/简装,398,广安﹒康馨家园,丰台,南 北,有,"2021年10月25日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共30层,76.57平米,平层/毛坯,397,广安﹒康馨家园,丰台,南 北,有,"2021年10月21日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共30层,74.1平米,平层/简装,370,广安﹒康馨家园,丰台,南,有,"2021年11月23日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共34层,76.7平米,平层/简装,385,广安﹒康馨家园,丰台,南 北,有,"2021年05月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,59.25平米,平层/精装,400,太平桥小区,丰台,南 北,,"2021年08月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,59.81平米,平层/简装,430,望园西里,丰台,南 北,,"2021年12月05日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,66.61平米,平层/简装,379,康泽园,丰台,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,69.72平米,平层/简装,398,建欣苑四里,丰台,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,55.95平米,平层/简装,365,晨光小区,丰台,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共6层,67.69平米,平层/简装,420,草桥矿冶小区,丰台,南 北,,"2021年11月24日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,56.69平米,平层/简装,357,太平桥西里,丰台,南 北,,"2021年11月08日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,65.99平米,平层/简装,352,建欣苑三里,丰台,南 北,,"2021年10月31日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,68.44平米,平层/简装,398,西罗园南里,丰台,南 北,,"2021年10月25日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,57.54平米,平层/简装,375,蒲安西里,丰台,南 北,,"2021年10月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,66.58平米,平层/简装,372,育芳园甲一号院,丰台,南 北,,"2021年10月03日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,56.03平米,平层/简装,386,马连道欣园东路,丰台,南 北,,"2021年09月30日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,57.14平米,平层/简装,382,芳古园一区,丰台,南 北,,"2021年09月14日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,67.63平米,平层/简装,400,建欣苑四里,丰台,南 北,,"2021年09月13日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,67.19平米,平层/简装,360,顺六条,丰台,南 北,,"2021年09月09日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,56.4平米,平层/简装,370,玉林里小区,丰台,东 南 西 北,,"2021年08月22日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,64.48平米,平层/简装,364,华润小区,丰台,南 北,,"2021年08月07日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,61.98平米,平层/简装,369,莲怡园一区,丰台,北 南,,"2021年08月05日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共7层,65.89平米,平层/简装,389,同仁园,丰台,南 北,,"2021年07月07日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共5层,66.42平米,平层/简装,419,精图小区55号院,丰台,南 北,,"2021年06月08日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共6层,62.19平米,暂无数据/简装,382,六里桥小区,丰台,东 南 北,,"2021年04月05日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,55.34平米,平层/简装,395,太平桥小区,丰台,南 北,,"2021年03月16日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,63.86平米,平层/简装,420,望园西里,丰台,南 北,,"2021年02月20日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共4层,57.84平米,平层/简装,365,芳星园三区,丰台,南 北,,"2020年12月06日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,59.58平米,平层/精装,367,石榴园南里小区,丰台,南 北,,"2021年12月10日
                                                                            ","普通住宅
                                                                            "
